site,site_lat,site_lon,id,lat,lon,scientific_name,growth_form,genus,species,family
BART,44.066951,-71.288437,NEON.PLA.D01.BART.06079,44.066125469662275,-71.28709374962192,Fagus grandifolia Ehrh.,Deciduous broadleaf,Fagus,grandifolia,Fagaceae
BART,44.066951,-71.288437,NEON.PLA.D01.BART.06554,44.066460099854005,-71.28970225649371,Acer pensylvanicum L.,Deciduous broadleaf,Acer,pensylvanicum,Sapindaceae
BART,44.066951,-71.288437,NEON.PLA.D01.BART.06504,44.06602061201552,-71.28850735969417,Acer pensylvanicum L.,Deciduous broadleaf,Acer,pensylvanicum,Sapindaceae
BART,44.066951,-71.288437,NEON.PLA.D01.BART.06600,44.066071950510626,-71.28962052975604,Acer rubrum L.,Deciduous broadleaf,Acer,rubrum,Sapindaceae
BART,44.066951,-71.288437,NEON.PLA.D01.BART.06539,44.067918882748216,-71.28789217371107,Acer pensylvanicum L.,Deciduous broadleaf,Acer,pensylvanicum,Sapindaceae
BART,44.066951,-71.288437,NEON.PLA.D01.BART.06557,44.06629770019654,-71.28966398295125,Acer pensylvanicum L.,Deciduous broadleaf,Acer,pensylvanicum,Sapindaceae
BART,44.066951,-71.288437,NEON.PLA.D01.BART.06535,44.067869105100215,-71.28754401349984,Acer pensylvanicum L.,Deciduous broadleaf,Acer,pensylvanicum,Sapindaceae
BART,44.066951,-71.288437,NEON.PLA.D01.BART.06084,44.06724200038028,-71.28724308786288,Fagus grandifolia Ehrh.,Deciduous broadleaf,Fagus,grandifolia,Fagaceae
BART,44.066951,-71.288437,NEON.PLA.D01.BART.06566,44.06772650089273,-71.28734063093587,Acer rubrum L.,Deciduous broadleaf,Acer,rubrum,Sapindaceae
BART,44.066951,-71.288437,NEON.PLA.D01.BART.06534,44.06779150021464,-71.28724375420143,Acer pensylvanicum L.,Deciduous broadleaf,Acer,pensylvanicum,Sapindaceae
BART,44.066951,-71.288437,NEON.PLA.D01.BART.06555,44.066360049510934,-71.28971907007879,Acer pensylvanicum L.,Deciduous broadleaf,Acer,pensylvanicum,Sapindaceae
BART,44.066951,-71.288437,NEON.PLA.D01.BART.06586,44.06789939019949,-71.28801508033618,Acer rubrum L.,Deciduous broadleaf,Acer,rubrum,Sapindaceae
BART,44.066951,-71.288437,NEON.PLA.D01.BART.06560,44.066161950190214,-71.28965288309226,Acer pensylvanicum L.,Deciduous broadleaf,Acer,pensylvanicum,Sapindaceae
BART,44.066951,-71.288437,NEON.PLA.D01.BART.06558,44.06628664880866,-71.28976305717804,Acer pensylvanicum L.,Deciduous broadleaf,Acer,pensylvanicum,Sapindaceae
BART,44.066951,-71.288437,NEON.PLA.D01.BART.06574,44.066073083848266,-71.2880183235326,Acer rubrum L.,Deciduous broadleaf,Acer,rubrum,Sapindaceae
BART,44.066951,-71.288437,NEON.PLA.D01.BART.06540,44.06785245878506,-71.2881740266204,Acer pensylvanicum L.,Deciduous broadleaf,Acer,pensylvanicum,Sapindaceae
BART,44.066951,-71.288437,NEON.PLA.D01.BART.06575,44.06603688896076,-71.28802946670814,Acer rubrum L.,Deciduous broadleaf,Acer,rubrum,Sapindaceae
BART,44.066951,-71.288437,NEON.PLA.D01.BART.06596,44.06705901120478,-71.28964062145518,Acer rubrum L.,Deciduous broadleaf,Acer,rubrum,Sapindaceae
BART,44.066951,-71.288437,NEON.PLA.D01.BART.06076,44.06606545312908,-71.28852183359568,Fagus grandifolia Ehrh.,Deciduous broadleaf,Fagus,grandifolia,Fagaceae
BART,44.066951,-71.288437,NEON.PLA.D01.BART.06530,44.067512250303466,-71.28724321100073,Acer pensylvanicum L.,Deciduous broadleaf,Acer,pensylvanicum,Sapindaceae
BART,44.066951,-71.288437,NEON.PLA.D01.BART.06083,44.067062500172504,-71.28720973390168,Fagus grandifolia Ehrh.,Deciduous broadleaf,Fagus,grandifolia,Fagaceae
BART,44.066951,-71.288437,NEON.PLA.D01.BART.06096,44.067148210524614,-71.28968972913906,Fagus grandifolia Ehrh.,Deciduous broadleaf,Fagus,grandifolia,Fagaceae
BART,44.066951,-71.288437,NEON.PLA.D01.BART.06538,44.06789294411747,-71.2878046135658,Acer pensylvanicum L.,Deciduous broadleaf,Acer,pensylvanicum,Sapindaceae
BART,44.066951,-71.288437,NEON.PLA.D01.BART.06500,44.06782625816464,-71.28960672611669,Acer rubrum L.,Deciduous broadleaf,Acer,rubrum,Sapindaceae
BART,44.066951,-71.288437,NEON.PLA.D01.BART.06547,44.06721009963668,-71.28975155394464,Acer pensylvanicum L.,Deciduous broadleaf,Acer,pensylvanicum,Sapindaceae
