site,sitename,date
DV,Denver,2008-04-17
DV,Denver,2008-06-17
ST,Seattle,2008-06-10
ST,Seattle,2008-05-01
DV,Denver,2008-05-17
AT,Austin,2008-01-24
DV,Denver,2008-03-27
AT,Austin,2008-01-08
AT,Austin,2008-03-20
DV,Denver,2008-06-26
TP,Tampa,2008-04-29
DV,Denver,2008-03-29
AT,Austin,2008-04-16
ST,Seattle,2008-02-23
DV,Denver,2008-02-19
ST,Seattle,2008-03-14
ST,Seattle,2008-03-07
TP,Tampa,2008-01-29
AT,Austin,2008-06-24
TP,Tampa,2008-01-23
DV,Denver,2008-04-28
DV,Denver,2008-03-03
DV,Denver,2008-04-04
TP,Tampa,2008-02-26
ST,Seattle,2008-03-05
DV,Denver,2008-02-16
DV,Denver,2008-05-10
DV,Denver,2008-03-21
AT,Austin,2008-04-29
ST,Seattle,2008-06-02
ST,Seattle,2008-04-17
ST,Seattle,2008-02-29
AT,Austin,2008-02-08
ST,Seattle,2008-03-19
DV,Denver,2008-04-16
AT,Austin,2008-03-06
AT,Austin,2008-01-01
ST,Seattle,2008-06-22
DV,Denver,2008-02-18
ST,Seattle,2008-03-25
TP,Tampa,2008-05-05
DV,Denver,2008-03-01
ST,Seattle,2008-05-07
ST,Seattle,2008-04-04
ST,Seattle,2008-04-25
ST,Seattle,2008-06-01
DV,Denver,2008-04-24
AT,Austin,2008-06-09
AT,Austin,2008-03-21
ST,Seattle,2008-06-20
AT,Austin,2008-06-20
DV,Denver,2008-04-02
DV,Denver,2008-06-12
AT,Austin,2008-06-16
AT,Austin,2008-05-12
ST,Seattle,2008-05-06
AT,Austin,2008-04-17
AT,Austin,2008-05-17
DV,Denver,2008-04-07
DV,Denver,2008-03-18
ST,Seattle,2008-05-23
AT,Austin,2008-06-17
ST,Seattle,2008-04-26
DV,Denver,2008-04-11
ST,Seattle,2008-06-21
TP,Tampa,2008-02-11
DV,Denver,2008-04-05
DV,Denver,2008-06-07
ST,Seattle,2008-02-28
DV,Denver,2008-02-17
AT,Austin,2008-05-02
AT,Austin,2008-03-13
ST,Seattle,2008-02-13
ST,Seattle,2008-03-18
DV,Denver,2008-05-08
AT,Austin,2008-03-27
DV,Denver,2008-05-11
TP,Tampa,2008-04-14
ST,Seattle,2008-05-28
DV,Denver,2008-06-06
ST,Seattle,2008-06-14
AT,Austin,2008-04-23
ST,Seattle,2008-06-16
ST,Seattle,2008-03-16
AT,Austin,2008-03-12
DV,Denver,2008-04-29
TP,Tampa,2008-04-21
ST,Seattle,2008-05-17
AT,Austin,2008-02-27
AT,Austin,2008-02-19
DV,Denver,2008-04-30
AT,Austin,2008-05-24
DV,Denver,2008-04-14
DV,Denver,2008-06-10
ST,Seattle,2008-04-29
DV,Denver,2008-03-16
AT,Austin,2008-03-24
TP,Tampa,2008-03-10
ST,Seattle,2008-03-01
ST,Seattle,2008-02-26
AT,Austin,2008-02-04
AT,Austin,2008-05-22
DV,Denver,2008-04-09
AT,Austin,2008-02-28
ST,Seattle,2008-04-19
ST,Seattle,2008-04-02
AT,Austin,2008-01-06
DV,Denver,2008-06-08
AT,Austin,2008-05-14
AT,Austin,2008-03-22
AT,Austin,2008-02-21
ST,Seattle,2008-05-21
ST,Seattle,2008-05-04
DV,Denver,2008-04-13
TP,Tampa,2008-01-17
AT,Austin,2008-04-07
DV,Denver,2008-04-12
ST,Seattle,2008-04-30
TP,Tampa,2008-04-16
AT,Austin,2008-05-20
ST,Seattle,2008-04-24
ST,Seattle,2008-05-14
DV,Denver,2008-06-02
AT,Austin,2008-02-29
DV,Denver,2008-06-18
TP,Tampa,2008-06-11
DV,Denver,2008-05-12
AT,Austin,2008-04-18
ST,Seattle,2008-04-07
ST,Seattle,2008-05-19
ST,Seattle,2008-05-31
ST,Seattle,2008-05-02
ST,Seattle,2008-04-08
AT,Austin,2008-05-21
DV,Denver,2008-04-06
DV,Denver,2008-05-07
AT,Austin,2008-03-09
ST,Seattle,2008-06-11
AT,Austin,2008-01-20
AT,Austin,2008-03-01
DV,Denver,2008-03-07
DV,Denver,2008-05-19
ST,Seattle,2008-05-09
DV,Denver,2008-06-14
ST,Seattle,2008-02-05
ST,Seattle,2008-04-09
ST,Seattle,2008-03-24
TP,Tampa,2008-04-07
ST,Seattle,2008-04-23
AT,Austin,2008-01-05
DV,Denver,2008-02-23
AT,Austin,2008-06-27
ST,Seattle,2008-05-18
AT,Austin,2008-03-07
AT,Austin,2008-04-28
DV,Denver,2008-06-16
TP,Tampa,2008-05-06
ST,Seattle,2008-05-11
AT,Austin,2008-01-19
AT,Austin,2008-06-26
ST,Seattle,2008-05-08
ST,Seattle,2008-05-03
AT,Austin,2008-01-04
TP,Tampa,2008-03-31
AT,Austin,2008-05-28
ST,Seattle,2008-05-26
DV,Denver,2008-04-19
ST,Seattle,2008-06-19
AT,Austin,2008-04-12
AT,Austin,2008-02-15
AT,Austin,2008-03-25
TP,Tampa,2008-05-19
DV,Denver,2008-03-28
ST,Seattle,2008-04-06
TP,Tampa,2008-03-26
DV,Denver,2008-03-17
ST,Seattle,2008-04-21
DV,Denver,2008-03-04
DV,Denver,2008-05-26
AT,Austin,2008-04-09
TP,Tampa,2008-02-06
ST,Seattle,2008-03-21
AT,Austin,2008-01-29
AT,Austin,2008-02-07
TP,Tampa,2008-02-13
AT,Austin,2008-02-05
DV,Denver,2008-03-30
AT,Austin,2008-02-23
AT,Austin,2008-04-14
AT,Austin,2008-04-26
AT,Austin,2008-02-02
ST,Seattle,2008-02-22
AT,Austin,2008-06-22
ST,Seattle,2008-03-06
AT,Austin,2008-02-12
AT,Austin,2008-04-19
DV,Denver,2008-06-25
TP,Tampa,2008-06-17
AT,Austin,2008-02-01
AT,Austin,2008-06-28
AT,Austin,2008-01-11
DV,Denver,2008-03-15
DV,Denver,2008-03-31
AT,Austin,2008-01-26
DV,Denver,2008-06-11
AT,Austin,2008-04-22
AT,Austin,2008-01-15
AT,Austin,2008-04-30
AT,Austin,2008-05-09
TP,Tampa,2008-01-24
AT,Austin,2008-04-08
ST,Seattle,2008-02-07
DV,Denver,2008-04-18
DV,Denver,2008-03-13
DV,Denver,2008-05-29
DV,Denver,2008-04-26
ST,Seattle,2008-02-25
DV,Denver,2008-06-15
AT,Austin,2008-04-15
DV,Denver,2008-02-15
TP,Tampa,2008-03-25
ST,Seattle,2008-02-03
DV,Denver,2008-03-22
ST,Seattle,2008-04-22
TP,Tampa,2008-02-04
AT,Austin,2008-02-11
AT,Austin,2008-01-17
TP,Tampa,2008-01-09
TP,Tampa,2008-06-16
DV,Denver,2008-06-27
AT,Austin,2008-04-21
ST,Seattle,2008-04-10
TP,Tampa,2008-05-29
ST,Seattle,2008-06-09
AT,Austin,2008-03-28
AT,Austin,2008-03-08
ST,Seattle,2008-05-22
ST,Seattle,2008-06-24
DV,Denver,2008-03-11
ST,Seattle,2008-02-10
ST,Seattle,2008-06-26
DV,Denver,2008-05-22
AT,Austin,2008-05-13
DV,Denver,2008-05-30
TP,Tampa,2008-05-13
DV,Denver,2008-06-20
ST,Seattle,2008-05-13
ST,Seattle,2008-02-17
ST,Seattle,2008-05-12
AT,Austin,2008-02-03
DV,Denver,2008-03-02
TP,Tampa,2008-01-30
DV,Denver,2008-05-24
ST,Seattle,2008-05-15
ST,Seattle,2008-02-16
DV,Denver,2008-05-25
ST,Seattle,2008-03-15
ST,Seattle,2008-06-13
TP,Tampa,2008-05-12
ST,Seattle,2008-02-02
ST,Seattle,2008-03-04
AT,Austin,2008-03-03
DV,Denver,2008-02-12
AT,Austin,2008-01-07
DV,Denver,2008-05-13
AT,Austin,2008-01-27
ST,Seattle,2008-02-20
ST,Seattle,2008-05-27
AT,Austin,2008-02-22
ST,Seattle,2008-03-17
AT,Austin,2008-03-14
TP,Tampa,2008-04-09
AT,Austin,2008-01-09
AT,Austin,2008-04-13
ST,Seattle,2008-04-15
DV,Denver,2008-07-21
ST,Seattle,2008-08-09
AT,Austin,2008-08-20
ST,Seattle,2008-07-06
AT,Austin,2008-07-07
ST,Seattle,2008-07-07
AT,Austin,2008-07-27
AT,Austin,2008-10-10
DV,Denver,2008-09-16
ST,Seattle,2008-07-04
TP,Tampa,2008-10-21
AT,Austin,2008-10-04
AT,Austin,2008-08-03
TP,Tampa,2008-09-15
AT,Austin,2008-08-10
AT,Austin,2008-08-14
AT,Austin,2008-12-17
DV,Denver,2008-07-19
DV,Denver,2008-09-20
AT,Austin,2008-08-09
ST,Seattle,2008-08-26
AT,Austin,2008-11-07
AT,Austin,2008-12-30
AT,Austin,2008-11-11
ST,Seattle,2008-08-30
DV,Denver,2008-10-10
DV,Denver,2008-07-31
TP,Tampa,2008-07-02
TP,Tampa,2008-08-13
ST,Seattle,2008-09-01
ST,Seattle,2008-08-21
TP,Tampa,2008-10-28
ST,Seattle,2008-07-14
DV,Denver,2008-09-23
DV,Denver,2008-08-08
AT,Austin,2008-08-21
DV,Denver,2008-09-15
TP,Tampa,2008-11-17
AT,Austin,2008-11-24
AT,Austin,2008-10-12
ST,Seattle,2008-07-01
ST,Seattle,2008-09-04
ST,Seattle,2008-08-17
ST,Seattle,2008-08-11
AT,Austin,2008-09-29
DV,Denver,2008-10-09
AT,Austin,2008-07-26
DV,Denver,2008-08-16
TP,Tampa,2008-09-03
TP,Tampa,2008-10-14
AT,Austin,2008-11-06
DV,Denver,2008-10-28
AT,Austin,2008-07-15
DV,Denver,2008-09-10
AT,Austin,2008-09-30
DV,Denver,2008-08-24
AT,Austin,2008-08-31
ST,Seattle,2008-09-11
AT,Austin,2008-09-22
DV,Denver,2008-10-23
DV,Denver,2008-07-29
DV,Denver,2008-10-17
TP,Tampa,2008-09-22
AT,Austin,2008-07-29
TP,Tampa,2008-09-23
AT,Austin,2008-07-31
ST,Seattle,2008-07-03
AT,Austin,2008-10-08
DV,Denver,2008-07-25
ST,Seattle,2008-07-23
AT,Austin,2008-11-05
AT,Austin,2008-07-03
AT,Austin,2008-08-17
AT,Austin,2008-09-04
TP,Tampa,2008-10-01
ST,Seattle,2008-07-08
AT,Austin,2008-08-25
TP,Tampa,2008-08-20
TP,Tampa,2008-11-26
ST,Seattle,2008-09-02
TP,Tampa,2008-11-04
DV,Denver,2008-07-18
DV,Denver,2008-10-27
TP,Tampa,2008-12-11
AT,Austin,2008-08-08
DV,Denver,2008-08-26
AT,Austin,2008-10-17
TP,Tampa,2008-07-29
DV,Denver,2008-10-07
DV,Denver,2008-08-14
DV,Denver,2008-07-01
DV,Denver,2008-07-17
DV,Denver,2008-09-28
AT,Austin,2008-12-16
TP,Tampa,2008-12-01
ST,Seattle,2008-08-01
AT,Austin,2008-11-04
TP,Tampa,2008-10-08
DV,Denver,2008-10-22
DV,Denver,2008-07-14
AT,Austin,2008-09-27
AT,Austin,2008-09-05
AT,Austin,2008-12-29
DV,Denver,2008-08-05
AT,Austin,2008-07-24
AT,Austin,2008-08-22
TP,Tampa,2008-07-23
DV,Denver,2008-07-27
AT,Austin,2008-08-24
TP,Tampa,2008-09-02
ST,Seattle,2008-09-06
AT,Austin,2008-10-11
TP,Tampa,2008-10-20
TP,Tampa,2008-10-10
TP,Tampa,2008-10-29
AT,Austin,2008-08-01
AT,Austin,2008-07-13
TP,Tampa,2008-10-22
AT,Austin,2008-10-07
AT,Austin,2008-12-25
HT,Houston,2008-12-29
AT,Austin,2008-12-26
DV,Denver,2008-09-26
AT,Austin,2008-07-06
AT,Austin,2008-08-07
ST,Seattle,2008-09-12
DV,Denver,2008-10-08
AT,Austin,2008-12-05
ST,Seattle,2008-07-16
TP,Tampa,2008-11-12
HT,Houston,2008-12-23
AT,Austin,2008-12-03
DV,Denver,2008-08-10
HT,Houston,2008-12-26
ST,Seattle,2008-09-15
AT,Austin,2008-07-25
AT,Austin,2008-08-16
ST,Seattle,2008-07-21
DV,Denver,2008-09-11
ST,Seattle,2008-07-19
AT,Austin,2008-10-13
TP,Tampa,2008-09-29
AT,Austin,2008-11-25
ST,Seattle,2008-08-20
DV,Denver,2008-09-30
TP,Tampa,2008-11-19
AT,Austin,2008-12-08
AT,Austin,2008-11-26
ST,Seattle,2008-09-13
AT,Austin,2008-07-02
DV,Denver,2008-10-14
AT,Austin,2008-08-15
AT,Austin,2008-11-09
AT,Austin,2008-12-27
AT,Austin,2008-09-24
DV,Denver,2008-09-24
HT,Houston,2008-12-22
ST,Seattle,2008-08-31
DV,Denver,2008-11-03
TP,Tampa,2008-07-08
DV,Denver,2008-08-11
TP,Tampa,2008-07-30
DV,Denver,2008-08-27
AT,Austin,2008-08-18
ST,Seattle,2008-08-24
AT,Austin,2008-12-22
DV,Denver,2008-10-29
ST,Seattle,2008-07-25
ST,Seattle,2008-09-14
ST,Seattle,2008-07-15
AT,Austin,2008-08-27
ST,Seattle,2008-09-18
DV,Denver,2008-10-16
AT,Austin,2008-12-18
TP,Tampa,2008-11-05
TP,Tampa,2008-09-24
AT,Austin,2008-07-05
AT,Austin,2008-12-01
DV,Denver,2008-10-26
AT,Austin,2008-10-18
HT,Houston,2008-12-05
AT,Austin,2008-07-04
DV,Denver,2008-08-04
DV,Denver,2008-07-07
TP,Tampa,2008-08-25
TP,Tampa,2008-11-03
TP,Tampa,2008-07-07
AT,Austin,2008-10-02
DV,Denver,2008-07-08
ST,Seattle,2008-07-02
DV,Denver,2008-08-13
AT,Austin,2008-12-15
ST,Seattle,2008-08-12
DV,Denver,2008-08-22
DV,Denver,2008-08-23
DV,Denver,2008-10-20
ST,Seattle,2008-08-04
ST,Seattle,2008-08-18
TP,Tampa,2008-09-10
DV,Denver,2008-11-01
TP,Tampa,2008-08-04
TP,Tampa,2008-09-17
DV,Denver,2008-07-15
DV,Denver,2008-08-25
AT,Austin,2008-09-06
AT,Austin,2008-12-10
AT,Austin,2008-08-05
ST,Seattle,2008-07-27
ST,Seattle,2008-08-02
AT,Austin,2008-08-29
DV,Denver,2008-07-28
DV,Denver,2008-09-09
TP,Tampa,2008-10-06
DV,Denver,2008-09-18
AT,Austin,2008-11-27
ST,Seattle,2008-08-23
TP,Tampa,2008-08-11
DV,Denver,2008-08-01
DV,Denver,2008-10-06
TP,Tampa,2008-09-04
AT,Austin,2008-07-14
TP,Tampa,2008-12-03
ST,Seattle,2008-07-18
AT,Austin,2008-07-01
AT,Austin,2008-12-06
DV,Denver,2008-08-17
AT,Austin,2008-08-11
ST,Seattle,2008-08-15
TP,Tampa,2008-12-08
DV,Denver,2008-09-17
DV,Denver,2008-09-12
TP,Tampa,2008-11-18
ST,Seattle,2008-07-31
DV,Denver,2008-10-04
AT,Austin,2008-12-20
DV,Denver,2008-10-25
ST,Seattle,2008-08-28
DV,Denver,2008-09-19
AT,Austin,2008-10-03
AT,Austin,2008-07-12
DV,Denver,2008-08-20
DV,Denver,2008-09-21
ST,Seattle,2008-08-27
TP,Tampa,2008-09-08
TP,Tampa,2008-09-16
TP,Tampa,2008-12-16
TP,Tampa,2008-09-30
AT,Austin,2008-10-15
TP,Tampa,2008-10-09
ST,Seattle,2008-07-24
AT,Austin,2008-08-28
ST,Seattle,2008-07-05
DV,Denver,2008-07-13
DV,Denver,2008-07-03
TP,Tampa,2008-11-10
DV,Denver,2008-09-04
TP,Tampa,2008-10-23
HT,Houston,2008-12-16
HT,Houston,2008-12-19
DV,Denver,2008-07-24
AT,Austin,2008-07-28
AT,Austin,2008-08-12
ST,Seattle,2008-07-13
AT,Austin,2008-12-12
HT,Houston,2008-12-18
DV,Denver,2008-08-18
AT,Austin,2008-09-28
DV,Denver,2008-07-04
TP,Tampa,2008-07-21
AT,Austin,2008-10-16
TP,Tampa,2008-07-27
AT,Austin,2008-11-08
TP,Tampa,2008-08-12
AT,Austin,2008-12-23
AT,Austin,2008-12-13
DV,Denver,2008-09-08
AT,Austin,2008-09-23
DV,Denver,2008-07-12
DV,Denver,2008-08-19
ST,Seattle,2008-07-22
DV,Denver,2008-10-01
DV,Denver,2008-08-21
ST,Seattle,2008-08-08
AT,Austin,2008-07-10
TP,Tampa,2008-12-09
TP,Tampa,2008-12-02
AT,Austin,2008-10-19
ST,Seattle,2008-08-07
TP,Tampa,2008-12-17
DV,Denver,2008-08-06
DV,Denver,2008-08-02
AT,Austin,2008-09-25
AT,Austin,2008-12-11
DV,Denver,2008-09-29
TP,Tampa,2008-07-09
AT,Austin,2008-07-11
AT,Austin,2008-12-28
AT,Austin,2008-07-16
ST,Seattle,2008-07-26
DV,Denver,2008-09-27
DV,Denver,2008-09-05
DV,Denver,2008-07-22
AT,Austin,2008-07-17
TP,Tampa,2008-08-06
DV,Denver,2008-07-30
AT,Austin,2008-12-19
DV,Denver,2008-09-13
ST,Seattle,2008-08-05
ST,Seattle,2008-08-10
HT,Houston,2008-12-04
TP,Tampa,2008-08-18
AT,Austin,2008-08-13
AT,Austin,2008-09-01
DV,Denver,2008-08-15
DV,Denver,2008-07-05
DV,Denver,2008-10-11
ST,Seattle,2008-09-05
AT,Austin,2008-11-30
ST,Seattle,2008-09-20
ST,Seattle,2008-09-17
AT,Austin,2008-10-14
AT,Austin,2008-12-04
AT,Austin,2008-08-06
DV,Denver,2008-07-02
TP,Tampa,2008-12-29
TP,Tampa,2008-11-13
DV,Denver,2008-08-12
AT,Austin,2008-08-30
DV,Denver,2008-08-09
TP,Tampa,2008-08-26
TP,Tampa,2008-12-04
ST,Seattle,2008-08-29
DV,Denver,2008-09-22
TP,Tampa,2008-08-21
AT,Austin,2008-07-09
ST,Seattle,2008-09-07
DV,Denver,2008-11-02
AT,Austin,2008-07-30
TP,Tampa,2008-11-25
DV,Denver,2008-09-25
ST,Seattle,2008-07-20
ST,Seattle,2008-08-14
DV,Denver,2008-07-16
TP,Tampa,2008-08-05
DV,Denver,2008-10-30
DV,Denver,2008-07-09
DV,Denver,2008-10-05
AT,Austin,2008-08-26
DV,Denver,2008-07-26
ST,Seattle,2008-08-13
AT,Austin,2008-11-23
HT,Houston,2008-12-15
TP,Tampa,2008-11-24
ST,Seattle,2008-09-21
AT,Austin,2008-10-09
AT,Austin,2008-09-02
DV,Denver,2008-07-20
AT,Austin,2008-08-23
ST,Seattle,2008-09-03
AT,Austin,2008-12-09
AT,Austin,2008-12-21
DV,Denver,2008-10-19
AT,Austin,2008-12-02
DV,Denver,2008-09-06
DV,Denver,2008-07-11
DV,Denver,2008-07-06
DV,Denver,2008-08-07
TP,Tampa,2008-07-22
AT,Austin,2008-10-05
DV,Denver,2008-08-03
HT,Houston,2008-12-12
AT,Austin,2008-11-10
DV,Denver,2008-09-14
ST,Seattle,2008-09-22
AT,Austin,2008-12-14
ST,Seattle,2008-08-22
AT,Austin,2008-07-08
TP,Tampa,2008-12-15
AT,Austin,2008-08-19
AT,Austin,2008-10-01
ST,Seattle,2008-07-30
AT,Austin,2008-08-02
AT,Austin,2008-12-07
ST,Seattle,2008-07-09
DV,Denver,2008-10-18
AT,Austin,2008-08-04
ST,Seattle,2008-09-19
DV,Denver,2008-08-29
DV,Denver,2008-08-28
ST,Seattle,2008-07-28
DV,Denver,2008-07-23
DV,Denver,2008-10-02
TP,Tampa,2008-07-01
AT,Austin,2008-09-26
ST,Seattle,2008-08-16
AT,Austin,2008-10-06
AT,Austin,2008-09-03
ST,Seattle,2008-08-19
AT,Austin,2008-12-24
DV,Denver,2008-09-03
DV,Denver,2008-10-21
TP,Tampa,2008-09-11
ST,Seattle,2008-09-16
DV,Denver,2008-09-07
ST,Seattle,2008-07-29
AT,Austin,2008-10-20
ST,Seattle,2008-07-17
DV,Denver,2008-10-15
DV,Denver,2008-07-10
DV,Denver,2009-04-28
TP,Tampa,2009-05-12
AT,Austin,2009-05-19
AT,Austin,2009-02-16
TP,Tampa,2009-06-23
ST,Seattle,2009-04-18
AT,Austin,2009-06-09
TP,Tampa,2009-01-20
HT,Houston,2009-04-22
TP,Tampa,2009-02-18
TP,Tampa,2009-06-09
DV,Denver,2009-04-11
AT,Austin,2009-06-10
DV,Denver,2009-05-17
DV,Denver,2009-03-21
AT,Austin,2009-06-20
DV,Denver,2009-04-25
AT,Austin,2009-02-12
HT,Houston,2009-05-07
DV,Denver,2009-02-17
ST,Seattle,2009-03-25
DV,Denver,2009-05-13
TP,Tampa,2009-06-04
DV,Denver,2009-05-02
NY,New York,2009-05-15
NY,New York,2009-06-29
ST,Seattle,2009-06-27
ST,Seattle,2009-05-17
NY,New York,2009-06-19
AT,Austin,2009-04-16
HT,Houston,2009-01-30
AT,Austin,2009-06-13
HT,Houston,2009-04-07
HT,Houston,2009-01-26
HT,Houston,2009-03-31
ST,Seattle,2009-05-01
ST,Seattle,2009-05-08
AT,Austin,2009-04-18
ST,Seattle,2009-01-22
ST,Seattle,2009-04-23
ST,Seattle,2009-06-04
TP,Tampa,2009-05-27
ST,Seattle,2009-02-06
AT,Austin,2009-05-23
ST,Seattle,2009-02-22
TP,Tampa,2009-03-03
AT,Austin,2009-02-04
AT,Austin,2009-01-27
AT,Austin,2009-06-23
NY,New York,2009-06-16
TP,Tampa,2009-04-08
ST,Seattle,2009-06-19
TP,Tampa,2009-03-13
HT,Houston,2009-01-22
AT,Austin,2009-05-17
NY,New York,2009-06-24
ST,Seattle,2009-04-28
ST,Seattle,2009-05-29
AT,Austin,2009-06-06
DV,Denver,2009-04-12
AT,Austin,2009-04-29
ST,Seattle,2009-05-25
ST,Seattle,2009-02-12
AT,Austin,2009-06-19
AT,Austin,2009-05-13
DV,Denver,2009-03-30
TP,Tampa,2009-03-02
TP,Tampa,2009-05-18
ST,Seattle,2009-02-05
NY,New York,2009-05-19
DV,Denver,2009-05-31
DV,Denver,2009-02-20
TP,Tampa,2009-02-24
DV,Denver,2009-04-19
ST,Seattle,2009-05-21
TP,Tampa,2009-03-31
TP,Tampa,2009-01-06
NY,New York,2009-05-28
TP,Tampa,2009-05-13
ST,Seattle,2009-04-30
NY,New York,2009-05-22
AT,Austin,2009-01-06
TP,Tampa,2009-01-19
AT,Austin,2009-03-05
NY,New York,2009-04-22
NY,New York,2009-06-08
NY,New York,2009-06-04
AT,Austin,2009-01-10
TP,Tampa,2009-03-11
AT,Austin,2009-02-27
DV,Denver,2009-06-05
AT,Austin,2009-06-04
DV,Denver,2009-04-02
DV,Denver,2009-04-14
AT,Austin,2009-02-26
AT,Austin,2009-04-28
DV,Denver,2009-06-06
ST,Seattle,2009-01-26
ST,Seattle,2009-06-17
ST,Seattle,2009-02-03
HT,Houston,2009-02-20
NY,New York,2009-06-26
DV,Denver,2009-04-20
HT,Houston,2009-04-03
DV,Denver,2009-05-14
NY,New York,2009-06-03
TP,Tampa,2009-01-14
AT,Austin,2009-02-23
AT,Austin,2009-01-12
AT,Austin,2009-05-22
ST,Seattle,2009-02-09
AT,Austin,2009-01-09
AT,Austin,2009-04-24
TP,Tampa,2009-04-21
DV,Denver,2009-04-26
HT,Houston,2009-02-02
ST,Seattle,2009-01-30
DV,Denver,2009-06-02
DV,Denver,2009-05-16
ST,Seattle,2009-05-02
HT,Houston,2009-01-27
TP,Tampa,2009-03-10
ST,Seattle,2009-01-29
ST,Seattle,2009-06-13
ST,Seattle,2009-06-06
AT,Austin,2009-06-14
NY,New York,2009-05-05
DV,Denver,2009-06-03
ST,Seattle,2009-04-12
HT,Houston,2009-04-24
HT,Houston,2009-04-21
AT,Austin,2009-04-30
DV,Denver,2009-05-27
ST,Seattle,2009-05-18
TP,Tampa,2009-02-17
AT,Austin,2009-06-26
ST,Seattle,2009-03-02
AT,Austin,2009-01-18
HT,Houston,2009-01-21
TP,Tampa,2009-04-13
ST,Seattle,2009-02-27
ST,Seattle,2009-05-03
AT,Austin,2009-04-03
AT,Austin,2009-02-18
ST,Seattle,2009-01-27
ST,Seattle,2009-05-23
TP,Tampa,2009-04-28
DV,Denver,2009-04-30
ST,Seattle,2009-05-11
NY,New York,2009-06-20
AT,Austin,2009-02-07
HT,Houston,2009-04-16
DV,Denver,2009-05-21
AT,Austin,2009-02-08
DV,Denver,2009-06-24
ST,Seattle,2009-02-19
AT,Austin,2009-04-02
TP,Tampa,2009-06-16
ST,Seattle,2009-03-04
ST,Seattle,2009-04-03
AT,Austin,2009-01-17
DV,Denver,2009-05-03
ST,Seattle,2009-05-27
AT,Austin,2009-04-13
HT,Houston,2009-03-05
AT,Austin,2009-04-26
DV,Denver,2009-04-29
AT,Austin,2009-01-16
AT,Austin,2009-04-22
HT,Houston,2009-01-23
ST,Seattle,2009-03-14
NY,New York,2009-06-11
NY,New York,2009-05-06
ST,Seattle,2009-04-01
AT,Austin,2009-01-15
AT,Austin,2009-01-25
NY,New York,2009-06-10
TP,Tampa,2009-02-11
AT,Austin,2009-01-28
AT,Austin,2009-05-15
HT,Houston,2009-04-06
ST,Seattle,2009-04-20
DV,Denver,2009-02-28
DV,Denver,2009-05-22
ST,Seattle,2009-02-21
AT,Austin,2009-06-05
DV,Denver,2009-06-19
NY,New York,2009-06-02
DV,Denver,2009-03-15
ST,Seattle,2009-04-19
AT,Austin,2009-06-11
HT,Houston,2009-04-01
ST,Seattle,2009-04-09
AT,Austin,2009-02-09
ST,Seattle,2009-04-22
TP,Tampa,2009-01-03
TP,Tampa,2009-06-15
TP,Tampa,2009-02-16
ST,Seattle,2009-03-19
NY,New York,2009-04-28
TP,Tampa,2009-04-01
NY,New York,2009-05-21
AT,Austin,2009-01-24
ST,Seattle,2009-02-18
DV,Denver,2009-02-19
HT,Houston,2009-01-20
DV,Denver,2009-03-09
AT,Austin,2009-03-27
AT,Austin,2009-06-17
TP,Tampa,2009-01-12
ST,Seattle,2009-06-25
TP,Tampa,2009-02-04
ST,Seattle,2009-06-16
TP,Tampa,2009-02-09
HT,Houston,2009-02-27
HT,Houston,2009-02-24
AT,Austin,2009-05-04
NY,New York,2009-05-12
ST,Seattle,2009-04-25
DV,Denver,2009-03-10
DV,Denver,2009-03-13
DV,Denver,2009-05-08
AT,Austin,2009-05-11
AT,Austin,2009-02-03
AT,Austin,2009-04-19
AT,Austin,2009-04-01
DV,Denver,2009-04-23
DV,Denver,2009-04-15
TP,Tampa,2009-06-03
DV,Denver,2009-05-20
TP,Tampa,2009-03-20
DV,Denver,2009-06-07
NY,New York,2009-05-04
HT,Houston,2009-04-30
TP,Tampa,2009-04-15
TP,Tampa,2009-04-22
DV,Denver,2009-06-26
AT,Austin,2009-01-19
AT,Austin,2009-04-08
AT,Austin,2009-04-04
ST,Seattle,2009-06-02
AT,Austin,2009-05-28
NY,New York,2009-04-23
DV,Denver,2009-06-16
AT,Austin,2009-03-03
DV,Denver,2009-04-24
ST,Seattle,2009-04-29
ST,Seattle,2009-03-22
ST,Seattle,2009-04-15
DV,Denver,2009-03-22
TP,Tampa,2009-03-22
HT,Houston,2009-03-27
DV,Denver,2009-04-17
HT,Houston,2009-02-26
ST,Seattle,2009-02-01
AT,Austin,2009-02-11
AT,Austin,2009-06-03
AT,Austin,2009-05-20
AT,Austin,2009-04-21
TP,Tampa,2009-03-21
ST,Seattle,2009-05-15
AT,Austin,2009-02-28
ST,Seattle,2009-01-24
NY,New York,2009-06-22
AT,Austin,2009-02-15
HT,Houston,2009-02-05
HT,Houston,2009-02-10
AT,Austin,2009-06-29
AT,Austin,2009-02-25
AT,Austin,2009-04-20
AT,Austin,2009-05-24
AT,Austin,2009-05-16
AT,Austin,2009-06-08
DV,Denver,2009-06-15
ST,Seattle,2009-02-08
ST,Seattle,2009-04-14
DV,Denver,2009-05-06
DV,Denver,2009-03-05
ST,Seattle,2009-06-12
ST,Seattle,2009-03-29
AT,Austin,2009-06-16
HT,Houston,2009-03-26
DV,Denver,2009-04-06
ST,Seattle,2009-03-26
NY,New York,2009-05-27
NY,New York,2009-05-26
HT,Houston,2009-01-07
TP,Tampa,2009-05-06
HT,Houston,2009-01-29
HT,Houston,2009-05-01
ST,Seattle,2009-04-07
