site,sitename,date
AT,Austin,2003-11-18
AT,Austin,2003-10-01
DV,Denver,2003-09-16
TP,Tampa,2003-08-15
TP,Tampa,2003-09-22
TP,Tampa,2003-11-10
DV,Denver,2003-09-29
DV,Denver,2003-10-04
DV,Denver,2003-07-26
AT,Austin,2003-08-19
AT,Austin,2003-08-20
DV,Denver,2003-07-27
TP,Tampa,2003-12-03
AT,Austin,2003-09-16
DV,Denver,2003-10-14
DV,Denver,2003-08-14
ST,Seattle,2003-07-08
AT,Austin,2003-07-06
TP,Tampa,2003-09-12
AT,Austin,2003-11-11
TP,Tampa,2003-12-15
DV,Denver,2003-11-04
DV,Denver,2003-10-21
AT,Austin,2003-10-25
AT,Austin,2003-10-18
AT,Austin,2003-10-21
TP,Tampa,2003-11-21
AT,Austin,2003-08-24
AT,Austin,2003-11-20
AT,Austin,2003-10-09
AT,Austin,2003-09-28
DV,Denver,2003-10-05
AT,Austin,2003-10-29
DV,Denver,2003-08-10
DV,Denver,2003-10-20
AT,Austin,2003-08-21
AT,Austin,2003-07-29
DV,Denver,2003-09-12
DV,Denver,2003-07-28
DV,Denver,2003-08-11
DV,Denver,2003-07-16
TP,Tampa,2003-07-11
AT,Austin,2003-07-03
AT,Austin,2003-11-21
DV,Denver,2003-07-18
DV,Denver,2003-07-02
TP,Tampa,2003-07-01
AT,Austin,2003-12-06
AT,Austin,2003-12-30
AT,Austin,2003-08-26
AT,Austin,2003-09-29
AT,Austin,2003-07-15
DV,Denver,2003-07-09
TP,Tampa,2003-08-11
AT,Austin,2003-10-24
DV,Denver,2003-08-29
DV,Denver,2003-07-21
DV,Denver,2003-09-27
AT,Austin,2003-11-25
AT,Austin,2003-09-17
TP,Tampa,2003-12-08
ST,Seattle,2003-07-10
DV,Denver,2003-10-02
AT,Austin,2003-12-16
DV,Denver,2003-10-06
DV,Denver,2003-07-29
DV,Denver,2003-10-23
DV,Denver,2003-10-18
DV,Denver,2003-09-30
AT,Austin,2003-11-15
DV,Denver,2003-08-21
DV,Denver,2003-10-03
DV,Denver,2003-09-24
AT,Austin,2003-07-21
AT,Austin,2003-12-27
DV,Denver,2003-08-23
TP,Tampa,2003-08-13
TP,Tampa,2003-12-29
AT,Austin,2003-08-13
AT,Austin,2003-07-12
DV,Denver,2003-10-10
DV,Denver,2003-09-19
AT,Austin,2003-11-23
AT,Austin,2003-10-28
DV,Denver,2003-08-09
TP,Tampa,2003-08-07
AT,Austin,2003-07-04
AT,Austin,2003-08-18
AT,Austin,2003-09-12
DV,Denver,2003-10-17
DV,Denver,2003-09-25
DV,Denver,2003-07-25
DV,Denver,2003-07-10
DV,Denver,2003-08-25
DV,Denver,2003-08-04
AT,Austin,2003-09-20
DV,Denver,2003-09-28
DV,Denver,2003-09-04
AT,Austin,2003-12-03
DV,Denver,2003-08-06
DV,Denver,2003-08-22
TP,Tampa,2003-10-06
AT,Austin,2003-10-16
AT,Austin,2003-12-11
ST,Seattle,2003-07-11
DV,Denver,2003-09-08
TP,Tampa,2003-07-24
TP,Tampa,2003-07-22
DV,Denver,2003-10-13
DV,Denver,2003-08-03
AT,Austin,2003-11-24
TP,Tampa,2003-08-04
DV,Denver,2003-07-03
AT,Austin,2003-08-01
DV,Denver,2003-08-17
AT,Austin,2003-10-07
AT,Austin,2003-10-06
AT,Austin,2003-09-06
TP,Tampa,2003-07-18
AT,Austin,2003-09-19
TP,Tampa,2003-07-21
DV,Denver,2003-10-11
AT,Austin,2003-07-14
AT,Austin,2003-10-15
